Time - Plot 0;Amplitude - Plot 0
0;6.4404
1;6.44054
2;6.44049
3;6.44032
4;6.44009
5;6.44044
6;6.4411
7;6.44628
8;6.4497
9;6.44538
10;6.41344
11;5.86572
12;4.76219
13;4.2955
14;3.88818
15;3.57103
16;3.42636
17;3.45217
18;3.48612
19;3.51063
20;3.65734
21;5.10448
22;8.64125
23;10.6186
24;10.6186
25;10.6186
26;10.4951
27;6.93094
28;4.36955
29;3.47719
30;3.16377
31;3.18763
32;3.26931
33;3.85173
34;4.3856
35;4.85537
36;5.67868
37;6.65531
38;6.78363
39;6.07546
40;4.42038
41;3.63524
42;3.34689
43;3.48052
44;3.95749
45;4.54933
46;5.60516
47;7.17852
48;9.86846
49;10.0634
50;8.52681
51;5.4171
52;4.72086
53;4.49871
54;4.46427
55;4.49599
56;4.60099
57;5.11978
58;5.71481
59;5.91323
60;5.90072
61;5.43614
62;4.58837
63;4.17165
64;4.15197
65;4.25177
66;4.43892
67;4.58867
68;4.91059
69;5.26391
70;5.54791
71;5.33145
72;4.70938
73;4.66056
74;4.667
75;4.6964
76;4.75713
77;5.20276
78;6.43021
79;7.39679
80;7.79883
81;7.75719
82;6.87399
83;5.62322
84;4.93378
85;4.68722
86;4.67824
87;4.70032
88;4.8988
89;5.65252
90;7.01088
91;9.575
92;9.79434
93;9.30924
94;6.85084
95;5.40427
96;4.94472
97;4.77123
98;4.78436
99;4.81856
100;4.94941